Account,date,daily_pnl,trades_per_day,win_rate,avg_trade_size_usd,long_ratio,short_ratio,risk_proxy,fees,classification,value,sentiment_group
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-15,0.0,2,0.0,555.8050000000001,0.0,1.0,420.52652992350386,0.38906399999999997,Extreme Greed,80.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-16,870.746565,30,0.4,674.5303333333334,0.4,0.6,0.11867645910297693,7.082553,Extreme Greed,86.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-17,175.061007,20,0.35,979.567,0.5,0.5,431.65531724819965,6.856953000000001,Extreme Greed,90.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-18,431.960709,79,0.34177215189873417,968.6977215189872,0.34177215189873417,0.6582278481012658,325.51140524968497,26.78446,Extreme Greed,83.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-19,906.2475900000001,56,0.4642857142857143,1511.193392857143,0.5,0.5,282.4347269160631,27.26,Extreme Greed,90.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-20,447.920315,32,0.4375,2027.2915625,0.4375,0.5625,1166.0722509336733,22.705639,Extreme Greed,83.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-21,0.0,57,0.0,1398.0726315789473,0.0,1.0,523.8885217383968,27.267768,Extreme Greed,82.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-22,365.437929,137,0.3795620437956204,2588.8760583941607,0.43795620437956206,0.5620437956204379,776.9293834797079,102.61079,Extreme Greed,94.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-23,1439.449718,191,0.3036649214659686,2003.0396858638744,0.3403141361256545,0.6596858638743456,177.75883557523352,115.653226,Extreme Greed,93.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-24,391.890903,70,0.17142857142857143,1866.554,0.3,0.7,179.74617061988798,41.980559,Extreme Greed,80.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-28,0.0,6,0.0,416.6333333333334,0.0,1.0,84.35364841690374,0.874924,Extreme Greed,77.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-29,22697.489906,63,0.5873015873015873,695.2509523809523,0.14285714285714285,0.8571428571428571,82.0011508381514,14.94323907,Extreme Greed,78.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-30,40.699929,76,0.06578947368421052,636.261447368421,0.06578947368421052,0.9342105263157895,12.133229571807002,16.924508,Extreme Greed,84.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-12-01,1169.432253,123,0.44715447154471544,893.489918699187,0.44715447154471544,0.5528455284552846,30.98565165783354,38.464692,Extreme Greed,81.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-12-02,254.15562,8,0.125,1667.92875,0.125,0.875,122.49767763701611,4.670198,Extreme Greed,80.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-12-03,-158.695661,6,0.0,2708.735,0.6666666666666666,0.3333333333333333,332.45429255590034,5.688339,Extreme Greed,76.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-02,45.086985,77,0.12987012987012986,332.6585714285714,0.14285714285714285,0.8571428571428571,190.8135831327596,8.74195096,Greed,70.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-03,909.1721379999999,177,0.1807909604519774,251.76581920903956,0.20903954802259886,0.7909604519774012,57.72780966784938,14.999851,Greed,74.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-04,30.818079,51,0.0392156862745098,182.9343137254902,0.0392156862745098,0.9607843137254902,29.350653455770882,3.265351,Greed,73.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-05,151.429584,51,0.17647058823529413,209.45666666666668,0.17647058823529413,0.8235294117647058,1.2040143985152336,2.822904,Greed,72.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-06,272.131501,266,0.03007518796992481,246.8388345864662,0.10526315789473684,0.8947368421052632,25.444100844381275,19.273273,Extreme Greed,76.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-07,4334.417218,222,0.7252252252252253,618.5525225225225,0.8378378378378378,0.16216216216216217,154.0219808610382,43.731671,Extreme Greed,78.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-08,1303.127763,390,0.3282051282051282,410.6838717948718,0.5923076923076923,0.4076923076923077,156.44674569241226,55.30867544,Greed,70.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-09,123.72129899999999,222,0.0945945945945946,448.987027027027,0.2072072072072072,0.7927927927927928,152.61395550363557,30.789297,Greed,69.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-10,1189.078864,254,0.468503937007874,476.30413385826773,0.7007874015748031,0.2992125984251969,135.73497069116073,42.343309,Neutral,50.0,Neutral/Other
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-11,417.647169,82,0.2073170731707317,435.32475609756096,0.47560975609756095,0.524390243902439,37.63023755872015,12.493781,Greed,69.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-12,0.0,15,0.0,332.6786666666667,0.0,1.0,15.239861730600472,1.746553,Greed,62.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-13,2060.162946,58,0.4482758620689655,827.8527586206897,0.7068965517241379,0.29310344827586204,337.8710201110851,16.805393,Greed,61.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-14,82.032118,13,0.23076923076923078,565.48,0.23076923076923078,0.7692307692307693,290.39572663491674,2.572929,Greed,63.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-15,240.93138,64,0.4375,456.34046875,0.46875,0.53125,17.016329582862777,8.972035,Greed,70.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-16,218.26223099999999,34,0.17647058823529413,471.515,0.3235294117647059,0.6764705882352942,161.34326651216432,5.611008,Extreme Greed,75.0,Greed
